SALES_DTL_ID,COMP_CODE,DIV_CODE,DOC_TYPE,INVNO,SM_CODE,INVDATE,ITEM_SERIAL,ITEM_CODE,ISCOMBOITEM,IS_REG_ITEM,SIZE,QTY,SALES_RATE,PUR_RATE,ITEM_DISCOUNT,NET_SALES_RATE,ANY_GIFT_ITEM,GIFT_ITEM_DESC,AMOUNT,NET_VALUE,TAX_PRCNT,Sales_Amnt,CST_AMT,CASHIER_CODE,CBU,DOC,MBU,DOM,ISDELETED,DELETEDON,DELETEDBY,VAT_PCT,Unit_Pur_Cost,Stk_Source_Refno,BTDI,DT_BTDI,BTDI_BY,hsn_code,gst_tax_pct,gst_tax_amnt,cgst_tax_amnt,sgst_tax_amnt,igst_tax_amnt,gst_sales_tax_amnt,item_desc
119,C015,DIV19,INC,INC/00000046/19-20/2E1645B7-986B-42EF-9FD8-1CC7E7B0EE5A,12,00:00.0,1,85809,0,1,9,1,660,0,0,660,0,NULL,660,660,0,0,0,CSH001,joypur,49:52.0,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,31.43,15.71,15.71,0,628.57,Footwear-Lth
120,C015,DIV19,INC,INC/00000047/19-20/3368F6FB-E050-48B2-BF03-1D21829788BA,2,00:00.0,1,82455,0,1,9,1,585,0,0,585,0,NULL,585,585,0,0,0,CSH001,joypur,52:03.2,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,27.86,13.93,13.93,0,557.14,Footwear-Lth
121,C015,DIV19,INC,INC/00000047/19-20/3368F6FB-E050-48B2-BF03-1D21829788BA,8,00:00.0,2,13891,0,0,1,1,465,0,0,465,0,NULL,465,465,0,0,0,CSH001,joypur,52:03.2,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42033000,18,70.93,35.47,35.47,0,394.07,Belt
122,C015,DIV19,INC,INC/00000047/19-20/3368F6FB-E050-48B2-BF03-1D21829788BA,8,00:00.0,3,14625,0,1,1,1,370,0,0,370,0,NULL,370,370,0,0,0,CSH001,joypur,52:03.2,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42023120,18,56.44,28.22,28.22,0,313.56,Wallet
123,C015,DIV19,INC,INC/00000047/19-20/3368F6FB-E050-48B2-BF03-1D21829788BA,6,00:00.0,4,10229,0,0,4,1,250,0,0,250,0,NULL,250,250,0,0,0,CSH001,joypur,52:03.2,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,11.9,5.95,5.95,0,238.1,Footwear-Syn
124,C015,DIV19,INR,INR/00000024/19-20/AF46C62B-11EB-4AD8-A58C-D2C6FAB1237B,12,00:00.0,1,18310,0,0,9,1,399,0,0,399,0,NULL,399,399,0,0,0,CSH001,joypur,56:05.0,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,19,9.5,9.5,0,380,Footwear-Lth
125,C015,DIV19,INR,INR/00000024/19-20/AF46C62B-11EB-4AD8-A58C-D2C6FAB1237B,12,00:00.0,2,18310,0,0,8,1,399,0,0,399,0,NULL,399,399,0,0,0,CSH001,joypur,56:05.0,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,19,9.5,9.5,0,380,Footwear-Lth
126,C015,DIV19,INR,INR/00000024/19-20/AF46C62B-11EB-4AD8-A58C-D2C6FAB1237B,12,00:00.0,3,3634,0,1,1,1,33,0,0,33,0,NULL,33,33,0,0,0,CSH001,joypur,56:05.0,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,34051000,18,5.03,2.52,2.52,0,27.97,Polish
127,C015,DIV19,INR,INR/00000024/19-20/AF46C62B-11EB-4AD8-A58C-D2C6FAB1237B,12,00:00.0,4,19216,0,0,1,1,50,0,0,50,0,NULL,50,50,0,0,0,CSH001,joypur,56:05.0,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,96039000,18,7.63,3.81,3.81,0,42.37,Brush
128,C015,DIV19,INC,INC/00000048/19-20/8B9B77F1-A600-48C9-B892-3EAC870097CF,16,00:00.0,1,18310,0,0,9,1,399,0,0,399,0,NULL,399,399,0,0,0,CSH001,joypur,58:06.5,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,19,9.5,9.5,0,380,Footwear-Lth
